Primary Parameters,Joist,Truss,Multi
CONNECTION TYPE,,Yes,
Connection Type,,Truss (Flush Bottom),
,,,
JOB SETTINGS,,Yes,
Hanger Type,,All Types,
Fastener Type,,All Types,
Configuration,,,
ANSI/TPI 1 Evaluation,,No,
Download Duration,,Floor / standard (CD=1.0),
Uplift Duration,,Wind / seismic (CD=1.6),
Job ID,,T09A,
Quantity,,3,
,,,
HEADER / GIRDER (CARRYING MEMBER),,Yes,
Member Type,,Truss — SP,
Type,,Truss,
Lumber Species,,SP,
Width,,1.5,
Bottom Chord Width,,1.5,
Depth,,3.5,
Bottom Chord Height,,3.94,
Number of Plies,,2,
Vertical Width (King Post),,1.5,
Total Height,,83.7727,
Member ID,,T10,
Lumber Finish,,Rough Sawn,
,,,
JOIST / TRUSS / JACK (CARRIED MEMBER),,Yes,
Member Type,,Truss — SP,
Lumber Species,,SP,
Width,,1.5,
Bottom Chord Width,,1.5,
Heel Height,,10.61,
Depth,,10.61,
Number of Plies,,1,
Member ID,,T09A,
Download (ASD),,384,
Upload (ASD),,272,
Slope (Degrees),,,
Lumber Finish,,Rough Sawn,
,,,
LEFT HIP (CARRIED MEMBER),,,
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
RIGHT HIP (CARRIED MEMBER),,,
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
HANGER OPTIONS,,Yes,
Skew,,270,
Slope,,33.5,
Top Flange Bend,,,
Top Flange Slope,,,
Offset Direction (Top Flange Only),,,
"High, Low, Center Flush",,,
