Primary Parameters,Joist,Truss,Multi
CONNECTION TYPE,,Yes,
Connection Type,,Truss (Flush Bottom),
,,,
JOB SETTINGS,,Yes,
Hanger Type,,All Types,
Fastener Type,,All Types,
Configuration,,,
ANSI/TPI 1 Evaluation,,No,
Download Duration,,Floor / standard (CD=1.0),
Uplift Duration,,Wind / seismic (CD=1.6),
Job ID,,J04,
Quantity,,1,
,,,
HEADER / GIRDER (CARRYING MEMBER),,Yes,
Member Type,,Truss — SP,
Type,,Truss,
Lumber Species,,SP,
Width,,1.5,
Bottom Chord Width,,1.5,
Depth,,3.5,
Bottom Chord Height,,7.94,
Number of Plies,,1,
Vertical Width (King Post),,1.5,
Total Height,,23.2065,
Member ID,,J03B,
Lumber Finish,,Rough Sawn,
,,,
JOIST / TRUSS / JACK (CARRIED MEMBER),,Yes,
Member Type,,Truss — SP,
Lumber Species,,SP,
Width,,1.5,
Bottom Chord Width,,1.5,
Heel Height,,3.94,
Depth,,3.94,
Number of Plies,,1,
Member ID,,J04,
Download (ASD),,75,
Upload (ASD),,68,
Slope (Degrees),,,
Lumber Finish,,Rough Sawn,
,,,
LEFT HIP (CARRIED MEMBER),,,
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
RIGHT HIP (CARRIED MEMBER),,,
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
HANGER OPTIONS,,Yes,
Skew,,270,
Slope,,18.2,
Top Flange Bend,,,
Top Flange Slope,,,
Offset Direction (Top Flange Only),,,
"High, Low, Center Flush",,,
